name,lon,lat,url
Blackhead Lighthouse,54.767096,-5.689196,https://www.irishlights.ie/tourism/our-lighthouses/black-head-(antrim).aspx
Ballycotton Lighthouse,51.826212,-7.985063,https://www.irishlights.ie/tourism/our-lighthouses/ballycotton.aspx
Clare Island Lighthouse,53.828062,-9.983093,https://www.irishlights.ie/tourism/our-lighthouses/black-head-(clare).aspx
Fanad Head Lighthouse,55.276272,-7.631255,https://www.irishlights.ie/tourism/our-lighthouses/fanad-head.aspx
Galley Head Lighthouse,51.529932,-8.951632,https://www.irishlights.ie/tourism/our-lighthouses/galley-head.aspx
Hook Lighthouse,52.12393,-6.92895,https://www.irishlights.ie/tourism/our-lighthouses/hook-head.aspx
Loop Head Lighthouse,52.560987,-9.932129,https://www.irishlights.ie/tourism/our-lighthouses/loop-head.aspx
Rathlin West Lighthouse,55.300891,-6.278913,https://www.irishlights.ie/tourism/our-lighthouses/rathlin-west.aspx
Saint John's Point Lighthouse,54.587158,-8.52089,https://www.irishlights.ie/tourism/our-lighthouses/st-johns-(donegal).aspx
St John's Point Lighthouse,54.226244,-5.658544,https://www.irishlights.ie/tourism/our-lighthouses/st-john%E2%80%99s-point-(down).aspx
"The Great Light, Maritime Mile",54.612753,-5.906195,https://www.irishlights.ie/tourism/our-lighthouses/black-head-(antrim).aspx
Valentia Island Lighthouse,51.932812,-10.321916,https://www.irishlights.ie/tourism/our-lighthouses/valentia-directional-light.aspx
Wicklow Head Lighthouse,52.966422,-5.998374,https://www.irishlights.ie/tourism/our-lighthouses/wicklow-head.aspx
Fastnet Rock,51.3976,-9.608023,https://www.irishlights.ie/tourism/our-lighthouses/fastnet.aspx
